distance_um,trajectory,tau_us,dt_us,target,shortest_supported_tested_us,average_m_s,times_tested_us,note
610.0,min_jerk,5.0,0.1,0.99,1500.0,0.4066666666666667,1500.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,rb_cubic,0.0,0.025,0.99,,,800.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,rb_cubic,0.0,0.05,0.99,,,800.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,rb_cubic,0.0,0.1,0.99,,,800.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,rb_cubic,2.0,0.025,0.99,1050.0,0.580952380952381,1050.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,rb_cubic,2.0,0.05,0.99,1050.0,0.580952380952381,1050.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,rb_cubic,2.0,0.1,0.99,1050.0,0.580952380952381,1050.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,rb_cubic,5.0,0.025,0.99,1200.0,0.5083333333333333,1200.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,rb_cubic,5.0,0.05,0.99,1200.0,0.5083333333333333,1200.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,rb_cubic,5.0,0.1,0.99,1200.0,0.5083333333333333,1200.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,zero_jerk,0.0,0.025,0.99,,,750.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,zero_jerk,0.0,0.05,0.99,,,750.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,zero_jerk,0.0,0.1,0.99,,,750.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,zero_jerk,2.0,0.025,0.99,900.0,0.6777777777777778,900.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,zero_jerk,2.0,0.05,0.99,900.0,0.6777777777777778,900.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,zero_jerk,2.0,0.1,0.99,900.0,0.6777777777777778,900.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,zero_jerk,5.0,0.025,0.99,1400.0,0.4357142857142857,1400.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,zero_jerk,5.0,0.05,0.99,1400.0,0.4357142857142857,1400.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,zero_jerk,5.0,0.1,0.99,1400.0,0.4357142857142857,1400.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
